NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,NA_L3KEY,NA_L2KEY,NA_L1KEY
8.3.2,Interior River Valleys and Hills,8.3,Southeastern USA Plains,8,Eastern Temperate Forests,8.3.2 Interior River Valleys and Hills,8.3 Southeastern USA Plains,8 Eastern Temperate Forests
8.3.3,Interior Plateau,8.3,Southeastern USA Plains,8,Eastern Temperate Forests,8.3.3 Interior Plateau,8.3 Southeastern USA Plains,8 Eastern Temperate Forests
8.3.4,Piedmont,8.3,Southeastern USA Plains,8,Eastern Temperate Forests,8.3.4 Piedmont,8.3 Southeastern USA Plains,8 Eastern Temperate Forests
8.3.5,Southeastern Plains,8.3,Southeastern USA Plains,8,Eastern Temperate Forests,8.3.5 Southeastern Plains,8.3 Southeastern USA Plains,8 Eastern Temperate Forests
8.3.6,Mississippi Valley Loess Plains,8.3,Southeastern USA Plains,8,Eastern Temperate Forests,8.3.6 Mississippi Valley Loess Plains,8.3 Southeastern USA Plains,8 Eastern Temperate Forests
8.3.7,South Central Plains,8.3,Southeastern USA Plains,8,Eastern Temperate Forests,8.3.7 South Central Plains,8.3 Southeastern USA Plains,8 Eastern Temperate Forests
8.3.8,East Central Texas Plains,8.3,Southeastern USA Plains,8,Eastern Temperate Forests,8.3.8 East Central Texas Plains,8.3 Southeastern USA Plains,8 Eastern Temperate Forests
8.4.1,Ridge and Valley,8.4,Ozark/Ouachita-Appalachian Forests,8,Eastern Temperate Forests,8.4.1 Ridge and Valley,8.4 Ozark/Ouachita-Appalachian Forests,8 Eastern Temperate Forests
8.4.2,Central Appalachians,8.4,Ozark/Ouachita-Appalachian Forests,8,Eastern Temperate Forests,8.4.2 Central Appalachians,8.4 Ozark/Ouachita-Appalachian Forests,8 Eastern Temperate Forests
8.4.3,Western Allegheny Plateau,8.4,Ozark/Ouachita-Appalachian Forests,8,Eastern Temperate Forests,8.4.3 Western Allegheny Plateau,8.4 Ozark/Ouachita-Appalachian Forests,8 Eastern Temperate Forests
8.4.4,Blue Ridge,8.4,Ozark/Ouachita-Appalachian Forests,8,Eastern Temperate Forests,8.4.4 Blue Ridge,8.4 Ozark/Ouachita-Appalachian Forests,8 Eastern Temperate Forests
8.4.5,Ozark Highlands,8.4,Ozark/Ouachita-Appalachian Forests,8,Eastern Temperate Forests,8.4.5 Ozark Highlands,8.4 Ozark/Ouachita-Appalachian Forests,8 Eastern Temperate Forests
8.4.6,Boston Mountains,8.4,Ozark/Ouachita-Appalachian Forests,8,Eastern Temperate Forests,8.4.6 Boston Mountains,8.4 Ozark/Ouachita-Appalachian Forests,8 Eastern Temperate Forests
8.4.7,Arkansas Valley,8.4,Ozark/Ouachita-Appalachian Forests,8,Eastern Temperate Forests,8.4.7 Arkansas Valley,8.4 Ozark/Ouachita-Appalachian Forests,8 Eastern Temperate Forests
8.4.8,Ouachita Mountains,8.4,Ozark/Ouachita-Appalachian Forests,8,Eastern Temperate Forests,8.4.8 Ouachita Mountains,8.4 Ozark/Ouachita-Appalachian Forests,8 Eastern Temperate Forests
8.4.9,Southwestern Appalachians,8.4,Ozark/Ouachita-Appalachian Forests,8,Eastern Temperate Forests,8.4.9 Southwestern Appalachians,8.4 Ozark/Ouachita-Appalachian Forests,8 Eastern Temperate Forests
8.5.1,Middle Atlantic Coastal Plain,8.5,Mississippi Alluvial and Southeast USA Coastal Plains,8,Eastern Temperate Forests,8.5.1 Middle Atlantic Coastal Plain,8.5 Mississippi Alluvial and Southeast USA Coastal Plains,8 Eastern Temperate Forests
8.5.2,Mississippi Alluvial Plain,8.5,Mississippi Alluvial and Southeast USA Coastal Plains,8,Eastern Temperate Forests,8.5.2 Mississippi Alluvial Plain,8.5 Mississippi Alluvial and Southeast USA Coastal Plains,8 Eastern Temperate Forests
8.5.3,Southern Coastal Plain,8.5,Mississippi Alluvial and Southeast USA Coastal Plains,8,Eastern Temperate Forests,8.5.3 Southern Coastal Plain,8.5 Mississippi Alluvial and Southeast USA Coastal Plains,8 Eastern Temperate Forests
8.5.4,Atlantic Coastal Pine Barrens,8.5,Mississippi Alluvial and Southeast USA Coastal Plains,8,Eastern Temperate Forests,8.5.4 Atlantic Coastal Pine Barrens,8.5 Mississippi Alluvial and Southeast USA Coastal Plains,8 Eastern Temperate Forests
9.2.1,Aspen Parkland/Northern Glaciated Plains,9.2,Temperate Prairies,9,Great Plains,9.2.1 Aspen Parkland/Northern Glaciated Plains,9.2 Temperate Prairies,9 Great Plains
9.2.2,Lake Manitoba and Lake Agassiz Plain,9.2,Temperate Prairies,9,Great Plains,9.2.2 Lake Manitoba and Lake Agassiz Plain,9.2 Temperate Prairies,9 Great Plains
9.2.3,Western Corn Belt Plains,9.2,Temperate Prairies,9,Great Plains,9.2.3 Western Corn Belt Plains,9.2 Temperate Prairies,9 Great Plains
9.2.4,Central Irregular Plains,9.2,Temperate Prairies,9,Great Plains,9.2.4 Central Irregular Plains,9.2 Temperate Prairies,9 Great Plains
9.3.1,Northwestern Glaciated Plains,9.3,West-Central Semiarid Prairies,9,Great Plains,9.3.1 Northwestern Glaciated Plains,9.3 West-Central Semiarid Prairies,9 Great Plains
9.3.3,Northwestern Great Plains,9.3,West-Central Semiarid Prairies,9,Great Plains,9.3.3 Northwestern Great Plains,9.3 West-Central Semiarid Prairies,9 Great Plains
9.3.4,Nebraska Sand Hills,9.3,West-Central Semiarid Prairies,9,Great Plains,9.3.4 Nebraska Sand Hills,9.3 West-Central Semiarid Prairies,9 Great Plains
9.4.1,High Plains,9.4,South Central Semiarid Prairies,9,Great Plains,9.4.1 High Plains,9.4 South Central Semiarid Prairies,9 Great Plains
9.4.2,Central Great Plains,9.4,South Central Semiarid Prairies,9,Great Plains,9.4.2 Central Great Plains,9.4 South Central Semiarid Prairies,9 Great Plains
9.4.3,Southwestern Tablelands,9.4,South Central Semiarid Prairies,9,Great Plains,9.4.3 Southwestern Tablelands,9.4 South Central Semiarid Prairies,9 Great Plains
9.4.4,Flint Hills,9.4,South Central Semiarid Prairies,9,Great Plains,9.4.4 Flint Hills,9.4 South Central Semiarid Prairies,9 Great Plains
9.4.5,Cross Timbers,9.4,South Central Semiarid Prairies,9,Great Plains,9.4.5 Cross Timbers,9.4 South Central Semiarid Prairies,9 Great Plains
9.4.6,Edwards Plateau,9.4,South Central Semiarid Prairies,9,Great Plains,9.4.6 Edwards Plateau,9.4 South Central Semiarid Prairies,9 Great Plains
9.4.7,Texas Blackland Prairies,9.4,South Central Semiarid Prairies,9,Great Plains,9.4.7 Texas Blackland Prairies,9.4 South Central Semiarid Prairies,9 Great Plains
9.5.1,Western Gulf Coastal Plain,9.5,Texas-Louisiana Coastal Plain,9,Great Plains,9.5.1 Western Gulf Coastal Plain,9.5 Texas-Louisiana Coastal Plain,9 Great Plains
9.6.1,Southern Texas Plains/Interior Plains and Hills With Xerophytic Shrub and Oak Forest,9.6,Tamaulipas-Texas Semiarid Plain,9,Great Plains,9.6.1 Southern Texas Plains/Interior Plains and Hills With Xerophytic Shrub and Oak Forest,9.6 Tamaulipas-Texas Semiarid Plain,9 Great Plains
8.1.4,North Central Hardwood Forests,8.1,Mixed Wood Plains,8,Eastern Temperate Forests,8.1.4 North Central Hardwood Forests,8.1 Mixed Wood Plains,8 Eastern Temperate Forests
8.2.1,Southeastern Wisconsin Till Plains,8.2,Central USA Plains,8,Eastern Temperate Forests,8.2.1 Southeastern Wisconsin Till Plains,8.2 Central USA Plains,8 Eastern Temperate Forests
8.2.3,Central Corn Belt Plains,8.2,Central USA Plains,8,Eastern Temperate Forests,8.2.3 Central Corn Belt Plains,8.2 Central USA Plains,8 Eastern Temperate Forests
8.1.2,Lake Erie Lowland,8.1,Mixed Wood Plains,8,Eastern Temperate Forests,8.1.2 Lake Erie Lowland,8.1 Mixed Wood Plains,8 Eastern Temperate Forests
0.0.0,Water,0.0,Water,0,Water,0.0.0 Water,0.0 Water,0 Water
6.2.7,Cascades,6.2,Western Cordillera,6,Northwestern Forested Mountains,6.2.7 Cascades,6.2 Western Cordillera,6 Northwestern Forested Mountains
6.2.8,Eastern Cascades Slopes and Foothills,6.2,Western Cordillera,6,Northwestern Forested Mountains,6.2.8 Eastern Cascades Slopes and Foothills,6.2 Western Cordillera,6 Northwestern Forested Mountains
